"Numéro *";"Date de la facture *";"Numéro du devis";"Nom du projet";"Rue du client";"Code postal du client";"Ville du client";"Responsable commercial";"Montant HT *";"Montant TTC *";"Montant TTC du *";"Montant taxe 20.00000%";"Montant taxe 10.00000%";"Montant taxe 5.50000%";"Montant taxe 0.00000%"
240410-CDE-SAS-gile--green-leaf-05-04-XGBD807-4531;10/04/2024;CDE-SAS-gile--green-leaf-05-04-XGBD807;;"57 MONTEE DE SAINT-MENET Zone Industrielle Delta";13011;Marseille;"SAS Gile";431.52;517.82;"Non payé";86.30;;;
240404-Elec-Clope-24-03-22-OLKM804-4530;04/04/2024;Elec-Clope-24-03-22-OLKM804;;"46 RUE GARIBALDI";76300;"SOTTEVILLE LES ROUEN";"Elec clope";245.50;294.60;"Non payé";49.10;;;
240328-BDC-ARJC778-2024-778-4529;28/03/2024;BDC-ARJC778-2024-778;;"11 impasse du Docteur Fléming";62221;Noyelles-sous-lens;"SARL Wat Presse";143.44;172.13;"Non payé";28.69;;;
240328-Vape-Fanvap-GVML-adrivape-epility-4528;28/03/2024;CDE-epility-18-03-24-ONTN798;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";8153.8;9784.56;"Non payé";1630.76;;;
240325-Vapote-Market-24-03-07-UCPY792-4527;25/03/2024;Vapote-Market-24-03-07-UCPY792;;"36 Route de Touvent";24580;"Rouffignac st cernin de reilhac";"Peintures tendances / vapote-market";402.84;483.41;"Non payé";80.57;;;
240322-CDE-Culture-Vap--12-03-24--UIWK795-4526;22/03/2024;CDE-Culture-Vap--12-03-24--UIWK795;;"10F Rue de la Retardais";35000;Rennes;"Culture Vap - Beyond the vapes";105.00;126.00;"Non payé";21.00;;;
240321-CDE-Culture-Vap--12-03-24--UIWK795-4525;21/03/2024;CDE-Culture-Vap--12-03-24--UIWK795;;"10F Rue de la Retardais";35000;Rennes;"Culture Vap - Beyond the vapes";4050.25;4860.30;"Non payé";810.05;;;
240312-CDE-VAP-AIR-13-02-24-LVCT779-4524;12/03/2024;CDE-VAP-AIR-13-02-24-LVCT779;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";521.82;626.18;"Non payé";104.36;;;
240311-CDE-VAP-AIR-13-02-24-LVCT779-4523;11/03/2024;CDE-VAP-AIR-13-02-24-LVCT779;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";2524.32;3029.18;"Non payé";504.86;;;
240304-Vape-Fanvap-GVML-Epility-4522;04/03/2024;CDE-Epility-21-02-24-IYRC786;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";3445.94;4135.128;"Non payé";689.188;;;
240228-BDC-ARJC778-2024-778-4521;28/02/2024;BDC-ARJC778-2024-778;;"11 impasse du Docteur Fléming";62221;Noyelles-sous-lens;"SARL Wat Presse";351.44;421.73;"Non payé";70.29;;;
240226-vape-Japaflo-Epility-Fanvap-4520;26/02/2024;CDE-Fanvap-02-2024-AMMS781;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";3901.5;4681.8;"Non payé";780.3;;;
240216-CDE-culture-vap-a-supprimrt-DAFW774-4519;16/02/2024;CDE-culture-vap-a-supprimrt-DAFW774;;"10F Rue de la Retardais";35000;Rennes;"Culture Vap - Beyond the vapes";3752.75;4503.30;"Non payé";750.55;;;
240209-CDE-Elec-Clope-02-02-24-KDPN773-4518;09/02/2024;CDE-Elec-Clope-02-02-24-KDPN773;;"46 RUE GARIBALDI";76300;"SOTTEVILLE LES ROUEN";"Elec clope";270.00;324.00;"Non payé";54.00;;;
240129-CDE-CULTURE-VAP-16-01-24-QQVO767-4517;29/01/2024;CDE-CULTURE-VAP-16-01-24-QQVO767;;"10F Rue de la Retardais";35000;Rennes;"Culture Vap - Beyond the vapes";3479.35;4175.22;"Non payé";695.87;;;
240118-CDE-SAS-gile-11-01-2024-VYGT761-4516;18/01/2024;CDE-SAS-gile-11-01-2024-VYGT761;;"57 MONTEE DE SAINT-MENET Zone Industrielle Delta";13011;Marseille;"SAS Gile";603.90;724.68;"Non payé";120.78;;;
240117-CDE-YZY-comines-11-01-2024-JYEI760-4515;17/01/2024;CDE-YZY-comines-11-01-2024-JYEI760;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;367.54;441.05;"Non payé";73.51;;;
240117-CDE-07-12-2023-Maes-QLLJ730-4514;17/01/2024;CDE-07-12-2023-Maes-QLLJ730;;"Avenue Zenobe Gramme 5";1480;Saintes;"ETS JF Maes";14002.20;14002.20;"Non payé";;;;0.00
240117-epility-Japaflo-Vape-4513;17/01/2024;CDE-Vape-d-aur-12-01-2024-VYFE764;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";1323.3;1587.96;"Non payé";264.66;;;
240115-Fanvap-GVML-Japaflo-Epility-4512;15/01/2024;BDC-Epility-28-12-2023-UUHL748;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";8441.6;10129.92;"Non payé";1688.32;;;
240115-CDE-RONCQ-08-01-24-WPBV757-4511;15/01/2024;CDE-RONCQ-08-01-24-WPBV757;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;246.50;295.80;"Non payé";49.30;;;
240115-CDE-vapair-5-01-2024-JVXK756-4510;15/01/2024;CDE-vapair-5-01-2024-JVXK756;;"15 rue Roger Bouvry";59213;SECLIN;"ALTERNA DJC (VAP AIR)";348.66;418.39;"Non payé";69.73;;;
240110-CDE-CI-klop-4-01-2023-JWKF755-4509;10/01/2024;CDE-CI-klop-4-01-2023-JWKF755;;"126 RUE LEO BAEKELAND";85290;"MORTAGNE SUR SEVRE";"CI-KLOP HOLDING";539.00;646.80;"Non payé";107.80;;;
240108-BDC-ceres-28-12-2023-NKTG750-4508;08/01/2024;BDC-ceres-28-12-2023-NKTG750;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";1088.00;1279.49;"Non payé";213.25;;;
240108-CDE-MOUVAUX-02-01-24-OCYF758-4507;08/01/2024;CDE-MOUVAUX-02-01-24-OCYF758;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;1304.75;1565.70;"Non payé";260.95;;;
240105-CDE-07-12-2023-Maes-QLLJ730-4506;05/01/2024;CDE-07-12-2023-Maes-QLLJ730;;"Avenue Zenobe Gramme 5";1480;Saintes;"ETS JF Maes";6809.40;6809.40;"Non payé";;;;0.00
240103-CDE-CULTURE-VAP-20-12-23-GWTG739-4505;03/01/2024;CDE-CULTURE-VAP-20-12-23-GWTG739;;"10F Rue de la Retardais";35000;Rennes;"Culture Vap - Beyond the vapes";1846.10;2215.32;"Non payé";369.22;;;
240103-E23-0296-QPCP754-4504;03/01/2024;E23-0296-QPCP754;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;794.10;952.92;"Non payé";158.82;;;
240103-CDE-ELEC-CLOPE-27-12-23-CTOE744-4503;03/01/2024;CDE-ELEC-CLOPE-27-12-23-CTOE744;;"46 RUE GARIBALDI";76300;"SOTTEVILLE LES ROUEN";"Elec clope";271.40;325.68;"Non payé";54.28;;;
240103-CDE-Distrivape-30-11-23-RGKJ719-4502;03/01/2024;CDE-Distrivape-30-11-23-RGKJ719;;"8 AVENUE NATIONALE La Neuvillette";51100;REIMS;Distrivape;840.00;1008.00;"Non payé";168.00;;;
231229-CDE-CERES-Urgente-26-12-23-OXGX741-4501;29/12/2023;CDE-CERES-Urgente-26-12-23-OXGX741;;"18 CHEMIN DU TISON";86000;POITIERS;"Laboratoire Cérès";1120.00;1317.12;"Non payé";219.52;;;
231229-CDE-Distrivape-30-11-23-RGKJ719-4500;29/12/2023;CDE-Distrivape-30-11-23-RGKJ719;;"8 AVENUE NATIONALE La Neuvillette";51100;REIMS;Distrivape;960.00;1152.00;"Non payé";192.00;;;
231229-CDE-RONCQ-28-12-23-XTQL746-4499;29/12/2023;CDE-RONCQ-28-12-23-XTQL746;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;323.10;387.72;"Non payé";64.62;;;
231229-CDE-23-11-2023-sas-gile-VUCI715-4498;29/12/2023;CDE-23-11-2023-sas-gile-VUCI715;;"57 MONTEE DE SAINT-MENET Zone Industrielle Delta";13011;Marseille;"SAS Gile";766.00;919.20;"Non payé";153.20;;;
231228-Complement-Culture-Vap-04-12-23-BSSW736-4497;28/12/2023;Complement-Culture-Vap-04-12-23-BSSW736;;"10F Rue de la Retardais";35000;Rennes;"Culture Vap - Beyond the vapes";722.00;866.40;"Non payé";144.40;;;
231228-04-04-04-EPILITY-VAPE-GVML-4496;28/12/2023;CDE-GVML-27-10-23-MTOP720;;"39 BIS AVENUE DE PARIS";51100;REIMS;"SAS CIGAGESTION";6700.5;8040.6;"Non payé";1340.1;;;
231227-BDC-YZY-COMINES-27-12-2023-RMIJ745-4495;27/12/2023;BDC-YZY-COMINES-27-12-2023-RMIJ745;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;913.42;1096.10;"Non payé";182.68;;;
231227-CDE-MOUVAUX-19-12-23-NOFH738-4494;27/12/2023;CDE-MOUVAUX-19-12-23-NOFH738;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;202.60;243.12;"Non payé";40.52;;;
231226-BDC-21-11-2023-Marie-Jeanne-LDUE711-4493;26/12/2023;BDC-21-11-2023-Marie-Jeanne-LDUE711;;"57 Montée de Saint Menet";13011;Marseille;"MARIE JEANNE";251.10;301.32;"Non payé";50.22;;;
231221-CDE-Jeannette-16-10-23-USYS704-4492;21/12/2023;CDE-Jeannette-16-10-23-USYS704;;"57 Montée de Saint Menet";13011;Marseille;"MARIE JEANNE";136.00;163.20;"Non payé";27.20;;;
231219-CDE-MOUVAUX-06-11-23-TPFN701-4491;19/12/2023;CDE-MOUVAUX-06-11-23-TPFN701;;"76bis, Rue Franklin Roosevelt";59420;Mouvaux;HPFI;135.20;162.24;"Non payé";27.04;;;
